town_name;cld_year;week_number;wd_total;wda_total;qty_total
Екатеринбург;1985;1;;;
Екатеринбург;1985;2;;;
Екатеринбург;1985;3;;;
Екатеринбург;1985;4;;;
Екатеринбург;1985;5;;;
Екатеринбург;1985;6;;;
Екатеринбург;1985;7;;;
Екатеринбург;1985;8;;;
Екатеринбург;1985;9;;;
Екатеринбург;1985;10;;;
Екатеринбург;1985;11;;;
Екатеринбург;1985;12;;;
Екатеринбург;1985;13;;;
Екатеринбург;1985;14;;;
Екатеринбург;1985;15;;;
Екатеринбург;1985;16;;;
Екатеринбург;1985;17;;;
Екатеринбург;1985;18;;;
Екатеринбург;1985;19;;;
Екатеринбург;1985;20;;;
Екатеринбург;1985;21;;;
Екатеринбург;1985;22;;;
Екатеринбург;1985;23;;;
Екатеринбург;1985;24;;;
Екатеринбург;1985;25;;;
Екатеринбург;1985;26;;;
Екатеринбург;1985;27;0;;1332914
Екатеринбург;1985;28;;;
Екатеринбург;1985;29;;;
Екатеринбург;1985;30;;;
Екатеринбург;1985;31;;;
Екатеринбург;1985;32;;;
Екатеринбург;1985;33;;;
Екатеринбург;1985;34;;;
Екатеринбург;1985;35;;;
Екатеринбург;1985;36;;;
Екатеринбург;1985;37;;;
Екатеринбург;1985;38;;;
Екатеринбург;1985;39;;;
Екатеринбург;1985;40;;;
Екатеринбург;1985;41;;;
Екатеринбург;1985;42;;;
Екатеринбург;1985;43;;;
Екатеринбург;1985;44;;;
Екатеринбург;1985;45;;;
Екатеринбург;1985;46;;;
Екатеринбург;1985;47;;;
Екатеринбург;1985;48;;;
Екатеринбург;1985;49;;;
Екатеринбург;1985;50;;;
Екатеринбург;1985;51;;;
Екатеринбург;1985;52;;;
Екатеринбург;1986;1;5267;;1332914
Екатеринбург;1986;2;7776;;1332914
Екатеринбург;1986;3;8362;;1332914
Екатеринбург;1986;4;8622;;1332914
Екатеринбург;1986;5;9823;;1332914
Екатеринбург;1986;6;11263;;1332914
Екатеринбург;1986;7;14334;;1332914
Екатеринбург;1986;8;17888;;1332914
Екатеринбург;1986;9;20433;;1332914
Екатеринбург;1986;10;17814;;1332914
Екатеринбург;1986;11;15951;;1332914
Екатеринбург;1986;12;12752;;1332914
Екатеринбург;1986;13;9332;;1332914
Екатеринбург;1986;14;8668;;1332914
