cld_year;week_number;wd_total;wda_total;qty_total
1985;27;14516;;4867200
1985;28;13134;;4867200
1985;29;11823;;4867200
1985;30;10697;;4867200
1985;31;10232;;4867200
1985;32;10388;;4867200
1985;33;10825;;4867200
1985;34;12796;;4867200
1985;35;15905;;4867200
1985;36;21141;;4867200
1985;37;35071;;4867200
1985;38;45297;;4867200
1985;39;46752;;4867200
1985;40;49336;;4867200
1985;41;34521;;4867200
1985;42;38508;;4867200
1985;43;40116;;4867200
1985;44;43517;;4867200
1985;45;31907;;4867200
1985;46;42465;;4867200
1985;47;50461;;4867200
1985;48;55010;;4867200
1985;49;63156;;4867200
1985;50;61761;;4867200
1985;51;56799;;4867200
1985;52;52234;;4867200
1986;1;33048;;4944000
1986;2;43649;;4944000
1986;3;46649;;4944000
1986;4;57910;;4944000
1986;5;67731;;4944000
1986;6;95696;;4944000
1986;7;140474;;4944000
1986;8;146856;;4944000
1986;9;140226;;4944000
1986;10;101348;;4944000
1986;11;75374;;4944000
1986;12;56173;;4944000
1986;13;44248;;4944000
1986;14;41679;;4944000
1986;15;41641;;4944000
1986;16;49197;;4944000
1986;17;52075;;4944000
1986;18;31709;;4944000
1986;19;43162;;4944000
1986;20;40031;;4944000
1986;21;38607;;4944000
1986;22;33181;;4944000
1986;23;25937;;4944000
1986;24;19969;;4944000
1986;25;16476;;4944000
1986;26;14162;;4944000
1986;27;12630;;4944000
1986;28;10819;;4944000
1986;29;10504;;4944000
1986;30;9940;;4944000
1986;31;9777;;4944000
1986;32;10669;;4944000
1986;33;11314;;4944000
1986;34;14585;;4944000
1986;35;17941;;4944000
1986;36;27296;;4944000
1986;37;44242;;4944000
1986;38;52555;;4944000
1986;39;50116;;4944000
1986;40;51864;;4944000
1986;41;37446;;4944000
1986;42;41836;;4944000
1986;43;45085;;4944000
1986;44;51332;;4944000
1986;45;51167;;4944000
1986;46;94179;1;4944000
1986;47;120573;1;4944000
1986;48;116969;1;4944000
1986;49;94894;1;4944000
1986;50;73819;1;4944000
1986;51;69817;1;4944000
1986;52;63042;;4944000
1987;1;46988;;4944000
1987;2;62164;;4944000
1987;3;65439;;4944000
1987;4;53532;;4944000
1987;5;55570;;4944000
1987;6;52803;;4944000
1987;7;50075;;4944000
1987;8;48332;;4944000
1987;9;47311;;4944000
1987;10;48728;;4944000
1987;11;49654;;4944000
1987;12;50883;;4944000
1987;13;43316;;4944000
1987;14;42857;;4944000
1987;15;43814;;4944000
1987;16;47994;;4944000
1987;17;48370;;4944000
1987;18;37323;;4944000
1987;19;39491;;4944000
1987;20;38174;;4944000
1987;21;33595;;4944000
1987;22;31935;;4944000
1987;23;27112;;4944000
1987;24;20859;;4944000
1987;25;18229;;4944000
1987;26;16233;;4944000
1987;27;15360;;4944000
1987;28;13425;;4944000
1987;29;12607;;4944000
1987;30;10879;;4944000
1987;31;10642;;4944000
1987;32;10802;;4944000
1987;33;11357;;4944000
1987;34;14721;;4944000
1987;35;16767;;4944000
1987;36;22714;;4944000
1987;37;37094;;4944000
1987;38;44092;;4944000
1987;39;45392;;4944000
1987;40;41423;;4944000
1987;41;35894;;4944000
1987;42;40629;;4944000
1987;43;44991;;4944000
1987;44;47915;;4944000
1987;45;45835;;4944000
1987;46;52754;;4944000
1987;47;55303;;4944000
1987;48;57328;;4944000
1987;49;59090;;4944000
1987;50;57999;;4944000
1987;51;57895;;4944000
1987;52;54067;;4944000
1988;1;39312;;4996600
1988;2;48620;;4996600
1988;3;50541;;4996600
1988;4;67366;1;4996600
1988;5;109302;1;4996600
1988;6;166677;1;4996600
1988;7;136773;1;4996600
1988;8;92878;1;4996600
1988;9;68417;1;4996600
1988;10;61575;1;4996600
1988;11;44107;;4996600
1988;12;56302;;4996600
1988;13;52824;;4996600
1988;14;48831;;4996600
1988;15;48750;;4996600
1988;16;53301;;4996600
1988;17;48532;;4996600
1988;18;43049;;4996600
1988;19;35758;;4996600
1988;20;29817;;4996600
1988;21;28729;;4996600
1988;22;23391;;4996600
1988;23;20891;;4996600
1988;24;16743;;4996600
1988;25;16989;;4996600
1988;26;14461;;4996600
1988;27;12005;;4996600
1988;28;12980;;4996600
1988;29;11633;;4996600
1988;30;11960;;4996600
1988;31;14295;;4996600
1988;32;14973;;4996600
1988;33;15047;;4996600
1988;34;16297;;4996600
1988;35;18599;;4996600
1988;36;22514;;4996600
1988;37;34014;;4996600
1988;38;47052;;4996600
1988;39;53178;;4996600
1988;40;46129;;4996600
1988;41;35494;;4996600
1988;42;38284;;4996600
1988;43;39392;;4996600
1988;44;43540;;4996600
1988;45;46073;;4996600
1988;46;32872;;4996600
1988;47;47238;;4996600
1988;48;51905;;4996600
1988;49;54955;;4996600
1988;50;57778;;4996600
1988;51;57415;;4996600
1988;52;53790;;4996600
1989;1;48942;;5029900
1989;2;62828;;5029900
1989;3;76395;;5029900
1989;4;103178;1;5029900
1989;5;110172;1;5029900
1989;6;103292;1;5029900
1989;7;85851;1;5029900
1989;8;71199;1;5029900
1989;9;64727;1;5029900
1989;10;58495;1;5029900
1989;11;47579;;5029900
1989;12;57324;;5029900
1989;13;52064;;5029900
1989;14;45277;;5029900
1989;15;46582;;5029900
1989;16;43872;;5029900
1989;17;42936;;5029900
1989;18;36651;;5029900
1989;19;28778;;5029900
1989;20;21365;;5029900
1989;21;24826;;5029900
